Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options*,Number of MySuper products authorised*,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2023,AvSuper Fund,84421446069,Public offer,Public Sector,Corporate base,AvSuper Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"2,338,046",22%,,,31%,300.6%,0.4%,0.2%,7.8%,4.4%,5.9%,"5,614","2,154,815",384,-4%
30/06/2023,AvWrap Retirement Service,82004832237,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"555,564",0%,,,0%,33.9%,0.0%,0.3%,8.0%,3.3%,4.8%,"1,417","553,767",391,17%
30/06/2023,Aware Super,53226460365,Public offer,Public Sector,Government base,Aware Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"163,848,359",1%,,,53%,82.9%,0.3%,0.2%,9.3%,5.4%,7.0%,"1,194,591","159,824,336",134,3%
30/06/2023,Building Unions Superannuation Scheme (Queensland),85571332201,Public offer,Industry,Industry base,BUSS (Queensland) Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"6,146,081",0%,,,66%,82.9%,0.0%,0.3%,8.8%,5.2%,7.3%,"72,393","6,064,774",84,4%
30/06/2023,Care Super,98172275725,Public offer,Industry,Industry base,CARE Super Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"22,062,610",0%,,,69%,77.0%,0.4%,0.3%,8.3%,5.6%,7.4%,"222,897","20,921,300",94,2%
30/06/2023,Centric Super Fund,91593544166,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"592,835",0%,,,0%,19.5%,0.0%,0.2%,7.2%,,,"1,345","586,286",436,39%
30/06/2023,Challenger Retirement Fund,87883998803,Public offer,Retail,General base,Challenger Retirement and Investment Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"386,708",0%,,,0%,463.6%,0.0%,0.0%,2.8%,1.4%,2.4%,"2,539","396,460",156,-11%
30/06/2023,ClearView Retirement Plan,45828721007,Public offer,Retail,General base,ClearView Life Nominees Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,072,909",0%,,,0%,200.3%,0.0%,0.1%,8.2%,3.0%,4.5%,"12,528","2,071,771",165,-6%
30/06/2023,Colonial First State FirstChoice Superannuation Trust,26458298557,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"88,704,036",0%,,,12%,117.9%,0.0%,0.1%,9.2%,4.2%,5.6%,"651,139","88,575,008",136,-3%
30/06/2023,CommInsure Corporate Insurance Superannuation Trust,49968181565,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,890,,,,0%,24.6%,0.0%,0.0%,29.4%,,,"5,344",0,0,-4%
30/06/2023,Commonwealth Bank Group Super,24248426878,Non public offer,Corporate,Corporate base,Commonwealth Bank Officers Superannuation Corporation Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"12,936,870",21%,,,47%,146.8%,0.5%,0.2%,7.7%,4.3%,6.0%,"65,005","12,004,565",185,-4%
30/06/2023,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Public offer,Industry,Industry base,United Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"86,258,918",1%,,,76%,32.1%,0.3%,0.3%,8.4%,5.6%,7.8%,"917,027","83,249,920",91,5%
30/06/2023,Crescent Wealth Superannuation Fund,71302958449,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"426,960",0%,,,0%,32.4%,0.1%,0.7%,4.3%,3.2%,3.7%,"11,856","418,956",35,-4%
30/06/2023,Crown Employees (NSW Fire Brigades Firefighting Staff Death & Disability) Superannuation Fund,60532453567,Non public offer,Public Sector,Government base,NSW Fire Brigades Superannuation Pty Limited,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"3,449",,,,0%,83.1%,0.0%,82.2%,-61.4%,-63.3%,-71.4%,"6,901",0,0,1%
30/06/2023,CSS Fund,19415776361,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"63,044,591",100%,,,0%,106.6%,0.0%,0.0%,8.1%,5.9%,7.0%,"99,396","63,035,481",634,-3%
30/06/2023,DIY Master Plan,46074281314,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,947",,,,,934.9%,0.2%,0.6%,8.4%,3.1%,4.2%,0,0,,-100%
30/06/2023,DPM Retirement Service,40725722496,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"44,473",0%,,,0%,3105.8%,0.0%,0.5%,8.0%,4.6%,5.3%,255,"43,665",171,-10%
30/06/2023,Encircle Superannuation Fund,68486630403,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,969,991",0%,,,0%,105.5%,0.0%,0.3%,8.5%,4.6%,5.3%,"7,665","2,956,694",386,1%
30/06/2023,equipsuper,33813823017,Public offer,Industry,General base,Togethr Trustees Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"32,872,731",4%,,,41%,123.3%,0.3%,0.3%,9.7%,4.5%,6.7%,"149,453","31,195,616",209,0%
30/06/2023,Essential Super,56601925435,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"4,448,926",0%,,,90%,55.8%,0.0%,0.2%,10.9%,4.5%,5.2%,"122,332","4,435,902",36,-7%
30/06/2023,Fiducian Superannuation Fund,57929339093,Public offer,Retail,General base,Fiducian Portfolio Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,258,933",0%,,,0%,54.6%,0.1%,0.8%,7.5%,3.7%,6.1%,"8,320","2,245,523",270,9%
30/06/2023,Fire and Emergency Services Superannuation Fund,43198502058,Non public offer,Public Sector,Government base,Fire and Emergency Services Superannuation Board,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"911,851",44%,,,0%,134.7%,0.1%,0.4%,9.0%,5.2%,6.1%,"2,535","782,525",309,1%
30/06/2023,First Super,56286625181,Public offer,Industry,Industry base,First Super Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"4,104,742",0%,,,83%,70.7%,0.3%,0.5%,9.1%,5.6%,7.4%,"59,341","3,997,010",67,26%
30/06/2023,Future Super Fund,45960194277,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,829,301",0%,,,0%,29.5%,0.7%,0.7%,9.8%,5.0%,4.8%,"47,483","1,808,969",38,8%
30/06/2023,Goldman Sachs & JBWere Superannuation Fund,55697537183,Non public offer,Corporate,Corporate base,BEST Superannuation Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"695,020",3%,,,79%,94.6%,0.0%,0.4%,12.3%,7.3%,9.1%,"1,785","620,763",348,-2%
30/06/2023,Grosvenor Pirie Master Superannuation Fund Series 2,32367272075,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"513,582",0%,,,0%,21.2%,0.1%,1.6%,13.3%,3.1%,4.7%,"90,014","494,679",5,39%
30/06/2023,Guild Retirement Fund,22599554834,Public offer,Retail,Industry base,Guild Trustee Services Pty. Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,831,013",0%,,,82%,44.7%,0.3%,0.6%,10.3%,5.7%,6.7%,"94,876","2,768,362",29,10%
30/06/2023,Heidelberg Australia Superannuation Fund,75071229817,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,227,,,,0%,3394.9%,0.0%,7.6%,8.3%,4.6%,6.0%,60,0,0,-17%
30/06/2023,HESTA,64971749321,Public offer,Industry,Industry base,H.E.S.T. Australia Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"78,626,614",0%,,,74%,46.7%,0.3%,0.3%,9.4%,6.1%,7.6%,"1,026,691","75,412,621",73,6%
30/06/2023,HOSTPLUS Superannuation Fund,68657495890,Public offer,Industry,Industry base,Host-Plus Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"97,038,772",0%,,,67%,39.3%,0.0%,0.2%,9.4%,6.2%,8.2%,"1,758,858","93,208,507",53,10%
30/06/2023,HUB24 Super Fund,60910190523,Public offer,Retail,General base,HTFS Nominees Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"24,955,415",0%,,,0%,23.2%,0.2%,0.3%,8.0%,3.0%,3.7%,"120,618","24,808,918",206,22%
30/06/2023,ING Superannuation Fund,13355603448,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"3,326,293",0%,,,0%,86.6%,0.2%,0.5%,9.5%,4.2%,4.9%,"51,903","3,297,955",64,-3%
30/06/2023,IOOF Portfolio Service Superannuation Fund,70815369818,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"35,043,282",0%,,,11%,82.4%,0.0%,0.4%,8.5%,4.3%,5.5%,"207,674","34,833,251",168,-4%
30/06/2023,legalsuper,60346078879,Public offer,Industry,Industry base,Legal Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"5,588,011",0%,,,49%,71.9%,0.4%,0.4%,8.4%,5.6%,7.2%,"41,704","5,440,114",130,1%
30/06/2023,LGIAsuper,23053121564,Public offer,Public Sector,Government base,LGIAsuper Trustee,Public sector organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"40,558,878",5%,,,34%,20.4%,0.3%,0.6%,8.2%,5.0%,6.6%,"250,194","30,024,957",120,95%
30/06/2023,Lifefocus Superannuation Fund,94579217553,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"251,525",0%,,,0%,1208.9%,0.5%,0.1%,7.8%,3.8%,4.8%,"3,520","249,571",71,3%
30/06/2023,Linfox Staff Superannuation Fund,11260931967,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,*,*,,,*,*,*,*,*,*,*,*,*,*,*
30/06/2023,Local Authorities Superannuation Fund,24496637884,Public offer,Public Sector,Government base,Vision Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"17,874,004",17%,,,33%,104.4%,0.3%,0.3%,9.3%,6.2%,7.1%,"84,426","12,365,607",146,1%
30/06/2023,Local Government Super,28901371321,Public offer,Public Sector,Government base,LGSS Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"14,512,161",13%,,,36%,120.0%,0.3%,0.3%,6.4%,4.7%,6.3%,"88,800","13,694,101",154,2%
30/06/2023,Macquarie Superannuation Plan,65508799106,Public offer,Retail,General base,Macquarie Investment Management Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"37,822,407",0%,,,0%,51.5%,0.0%,0.3%,8.3%,3.8%,5.3%,"126,121","37,696,121",299,19%
30/06/2023,Macquarie University Professorial Superannuation Scheme,98415348576,Non public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,*,*,,,*,*,*,*,*,*,*,*,*,*,*
30/06/2023,Manildra Flour Mills Retirement Fund,32448411930,Non public offer,Corporate,Corporate base,Manildra Flour Mills Retirement Fund Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"61,026",11%,,,0%,84.0%,0.0%,1.1%,15.8%,6.7%,7.5%,127,"59,308",467,7%
30/06/2023,Maritime Super,77455663441,Public offer,Industry,Industry base,Maritime Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"6,101,715",1%,,,16%,172.0%,0.0%,0.3%,8.3%,5.3%,6.6%,"22,339","5,930,546",265,-2%
30/06/2023,Mason Stevens Super,34422545198,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"871,394",0%,,,0%,18.3%,0.3%,0.4%,5.7%,,,"2,663","866,293",325,52%
30/06/2023,Meat Industry Employees Superannuation Fund,17317520544,Non public offer,Industry,Industry base,Meat Industry Employees Superannuation Fund Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"1,022,285",0%,,,89%,128.5%,0.4%,0.3%,8.2%,6.9%,7.7%,"16,516","992,287",60,2%
30/06/2023,Mercer Portfolio Service Superannuation Plan,92181844838,Public offer,Retail,General base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,800,509",0%,,,0%,257.9%,0.0%,0.3%,8.3%,4.6%,5.5%,"5,213","1,786,837",343,-4%
30/06/2023,Mercer Super Trust,19905422981,Public offer,Retail,Corporate base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"66,117,536",6%,,,53%,8.8%,0.3%,0.1%,8.1%,5.0%,6.5%,"842,813","65,073,597",77,185%
30/06/2023,Military Superannuation & Benefits Fund No 1,50925523120,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"84,646,877",100%,,,0%,102.6%,0.0%,0.0%,5.6%,4.2%,6.5%,"182,514","84,574,000",463,0%
30/06/2023,Mine Superannuation Fund,16457520308,Public offer,Industry,Industry base,AUSCOAL Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"13,762,013",1%,,,49%,119.7%,0.3%,0.4%,10.8%,5.5%,6.5%,"59,427","12,420,322",209,2%
30/06/2023,MLC Super Fund,70732426024,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"82,150,934",4%,,,42%,126.0%,0.2%,0.3%,7.9%,5.4%,,"847,462","81,123,085",96,-8%
30/06/2023,MLC Superannuation Fund,40022701955,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"24,805,878",0%,,,0%,115.3%,0.0%,0.1%,8.1%,4.1%,5.4%,"88,504","24,818,337",280,-4%
30/06/2023,National Mutual Retirement Fund,76746741299,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"6,059,724",0%,,,0%,295.5%,0.0%,0.1%,10.0%,5.6%,5.3%,"182,571","6,037,980",33,-11%
30/06/2023,NESS Super,72229227691,Public offer,Industry,Industry base,NESS Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"1,070,102",0%,,,74%,65.2%,0.2%,0.5%,9.1%,5.4%,6.8%,"12,646","1,064,572",84,2%
30/06/2023,Netwealth Superannuation Master Fund,94573747704,Public offer,Retail,General base,Netwealth Superannuation Services Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"23,967,998",0%,,,0%,40.2%,0.1%,0.3%,8.1%,3.3%,4.4%,"88,550","23,818,146",269,10%
30/06/2023,NGS Super,73549180515,Public offer,Industry,Industry base,NGS Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"14,522,711",0%,,,63%,94.8%,0.3%,0.3%,8.6%,5.2%,7.0%,"114,490","14,105,431",123,3%
30/06/2023,Oasis Superannuation Master Trust,81154851339,Public offer,Retail,General base,Oasis Fund Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"3,059,058",0%,,,0%,555.6%,0.0%,0.5%,8.4%,3.8%,5.2%,"19,872","3,024,783",152,-1%
30/06/2023,OneSuper,43905581638,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,325,777",0%,,,14%,93.5%,0.1%,0.5%,9.2%,4.7%,5.0%,"59,302","1,297,701",22,-1%
30/06/2023,Perpetual Super Wrap,22897174641,Public offer,Retail,General base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,155,438",0%,,,0%,47.1%,0.0%,0.9%,9.0%,5.0%,6.0%,"2,519","2,152,384",854,36%
30/06/2023,Perpetual WealthFocus Superannuation Fund,41772007500,Public offer,Retail,General base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,672,962",0%,,,0%,204.9%,0.0%,0.4%,11.8%,6.2%,7.0%,"10,218","1,654,944",162,-7%
30/06/2023,Perpetual's Select Superannuation Fund,51068260563,Public offer,Retail,Corporate base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,161,750",0%,,,0%,536.2%,0.0%,0.1%,10.6%,5.4%,6.5%,"4,514","1,140,180",253,-8%
30/06/2023,Personal Choice Private Fund,50159477169,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"140,875",0%,,,0%,1636.4%,0.5%,0.1%,8.0%,3.9%,4.9%,692,"139,061",201,-19%
30/06/2023,Platformplus Super Wrap,18906079389,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"139,539",0%,,,0%,3.1%,0.3%,0.2%,4.7%,,,462,"139,033",301,1390%
30/06/2023,Praemium SMA Superannuation Fund,75703857864,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"3,861,389",0%,,,0%,46.2%,0.6%,0.0%,8.7%,3.5%,4.0%,"13,704","3,825,318",279,7%
30/06/2023,Premiumchoice Retirement Service,70479285132,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"472,160",0%,,,0%,179.9%,0.0%,0.4%,8.1%,3.8%,5.2%,"1,827","471,779",258,-6%
30/06/2023,Prime Super,60562335823,Public offer,Industry,Industry base,Prime Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"6,795,160",1%,,,81%,70.2%,0.7%,0.4%,8.7%,5.2%,7.0%,"145,129","6,603,373",46,9%
30/06/2023,Public Sector Superannuation Accumulation Plan,65127917725,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"22,775,117",0%,,,77%,40.0%,0.0%,0.1%,9.0%,5.9%,7.2%,"159,418","22,423,142",141,6%
30/06/2023,Public Sector Superannuation Scheme,74172177893,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"109,703,447",100%,,,0%,142.8%,0.0%,0.2%,7.2%,4.9%,6.8%,"214,774","106,870,703",498,-1%
30/06/2023,Qantas Superannuation Plan,41272198829,Non public offer,Corporate,Corporate base,Qantas Superannuation Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"8,829,247",24%,,,14%,168.5%,0.4%,0.2%,6.3%,5.9%,6.6%,"26,260","8,231,085",313,-1%
30/06/2023,Rei Super,76641658449,Public offer,Industry,Industry base,Rei Superannuation Fund Pty Limited,Nominating organisation ownership,Not for profit status,Non equal representation,30/06/2023,12,,"2,071,716",0%,,,71%,90.0%,0.1%,0.6%,9.5%,4.8%,6.4%,"23,024","2,030,036",88,-4%
30/06/2023,Retail Employees Superannuation Trust,62653671394,Public offer,Industry,Industry base,Retail Employees Superannuation Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"77,362,656",0%,,,81%,49.7%,0.3%,0.3%,8.9%,5.2%,6.7%,"2,023,006","74,836,905",37,5%
30/06/2023,Retirement Portfolio Service,61808189263,Public offer,Retail,General base,OnePath Custodians Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"35,386,186",0%,,,36%,141.6%,0.6%,0.2%,9.0%,4.4%,5.4%,"696,046","35,153,443",51,-3%
30/06/2023,Russell Investments Master Trust,89384753567,Public offer,Retail,Corporate base,Total Risk Management Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"10,220,555",7%,,,40%,141.5%,0.1%,0.2%,10.2%,5.2%,6.3%,"88,231","10,076,538",114,20%
30/06/2023,Smart Future Trust,68964712340,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"5,562,732",2%,,,50%,79.4%,0.2%,1.0%,10.4%,6.6%,7.4%,"230,542","5,403,074",23,7%
30/06/2023,Spirit Super,74559365913,Public offer,Industry,General base,Motor Trades Association of Australia Superannuation Fund Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"28,562,349",0%,,,75%,79.6%,0.4%,0.3%,9.1%,4.9%,7.1%,"348,425","27,434,363",79,5%
30/06/2023,Star Portfolio Superannuation Fund,24276733959,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"195,078",0%,,,0%,1001.9%,0.0%,0.6%,11.9%,5.0%,5.6%,613,"192,556",314,-16%
30/06/2023,Super Retirement Fund,40328908469,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,649,513",0%,,,0%,515.5%,0.0%,0.2%,9.3%,5.0%,5.9%,"36,751","2,640,954",72,-11%
30/06/2023,Super Simplifier,36526795205,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,079,290",0%,,,0%,6.2%,0.2%,0.3%,5.3%,,,"3,719","1,066,659",287,
30/06/2023,SuperTrace Superannuation Fund,73703878235,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"36,236",0%,,,0%,2262.3%,0.5%,0.6%,5.9%,3.3%,3.4%,"1,118","36,213",32,-5%
30/06/2023,Symetry Personal Retirement Fund,24685968122,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"1,112,188",0%,,,0%,313.1%,0.0%,0.4%,7.8%,3.5%,4.7%,"4,562","1,109,623",243,-13%
30/06/2023,Telstra Superannuation Scheme,85502108833,Public offer,Corporate,Corporate base,Telstra Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"25,991,092",6%,,,33%,128.2%,0.3%,0.3%,8.2%,5.3%,6.7%,"92,773","24,705,378",266,2%
