Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2022,Future Super Fund,45960194277,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,459,037",0%,5,,0%,17.6%,0.7%,0.7%,-10.2%,5.2%,4.5%,"43,785","1,424,786",33,24%
30/06/2022,Goldman Sachs & JBWere Superannuation Fund,55697537183,Non public offer,Corporate,Corporate base,BEST Superannuation Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"617,896",3%,1,1,82%,84.2%,0.0%,0.4%,-6.5%,7.3%,10.2%,"1,813","556,415",307,3%
30/06/2022,Grosvenor Pirie Master Superannuation Fund Series 2,32367272075,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"261,702",0%,4,,0%,63.8%,0.4%,1.5%,-14.2%,1.5%,4.5%,"64,588","251,501",4,124%
30/06/2022,Guild Retirement Fund,22599554834,Public offer,Retail,Industry base,Guild Trustee Services Pty. Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"2,390,114",0%,3,1,80%,50.8%,0.3%,0.6%,-6.7%,5.4%,6.7%,"86,520","2,346,523",27,5%
30/06/2022,Heidelberg Australia Superannuation Fund,75071229817,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,HESTA,64971749321,Public offer,Industry,Industry base,H.E.S.T. Australia Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"67,375,949",0%,20,1,74%,54.6%,0.3%,0.2%,-2.6%,6.2%,8.0%,"968,215","64,989,059",67,5%
30/06/2022,Holden Employees Superannuation Fund,77289319006,Non public offer,Corporate,Corporate base,Holden Employees Superannuation Fund Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,HOSTPLUS Superannuation Fund,68657495890,Public offer,Industry,Industry base,Host-Plus Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"82,537,867",1%,18,1,67%,13.4%,0.0%,0.2%,-2.6%,6.6%,8.7%,"1,596,951","79,866,609",50,23%
30/06/2022,HUB24 Super Fund,60910190523,Public offer,Retail,General base,HTFS Nominees Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"17,244,427",0%,"2,075",,0%,17.9%,0.2%,0.3%,-8.1%,2.5%,,"98,967","17,857,771",180,27%
30/06/2022,ING Superannuation Fund,13355603448,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"3,017,266",0%,14,,0%,97.3%,0.2%,0.5%,-6.1%,3.6%,,"53,601","2,969,871",55,-5%
30/06/2022,IOOF Portfolio Service Superannuation Fund,70815369818,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"31,695,608",0%,"1,224",1,10%,92.0%,0.0%,0.4%,-5.5%,4.1%,6.0%,"215,833","31,461,436",146,-7%
30/06/2022,legalsuper,60346078879,Public offer,Industry,Industry base,Legal Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"5,056,523",0%,13,1,49%,78.2%,0.1%,0.4%,-1.9%,5.8%,7.8%,"41,493","4,920,157",119,0%
30/06/2022,LGIAsuper,23053121564,Public offer,Public Sector,Government base,LGIAsuper Trustee,Public sector organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"32,507,542",7%,63,1,33%,16.1%,0.4%,0.4%,-3.8%,5.2%,7.0%,"128,390","21,594,629",168,70%
30/06/2022,Lifefocus Superannuation Fund,94579217553,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"286,117",0%,567,,0%,1615.9%,0.5%,0.1%,-6.2%,3.7%,4.7%,"3,423","283,490",83,-6%
30/06/2022,Linfox Staff Superannuation Fund,11260931967,Non public offer,Retail,Corporate base,Towers Watson Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Local Authorities Superannuation Fund,24496637884,Public offer,Public Sector,Government base,Vision Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"16,184,253",19%,28,1,32%,94.7%,0.3%,0.2%,-3.7%,6.1%,7.4%,"83,741","11,318,558",135,-1%
30/06/2022,Local Government Super,28901371321,Public offer,Public Sector,Government base,LGSS Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"13,610,421",13%,8,1,34%,104.8%,0.3%,0.3%,-3.1%,5.0%,6.9%,"86,844","13,044,429",150,4%
30/06/2022,Macquarie Superannuation Plan,65508799106,Public offer,Retail,General base,Macquarie Investment Management Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"31,816,754",0%,"1,644",,0%,42.2%,0.0%,0.3%,-7.7%,3.6%,5.7%,"105,905","31,740,719",300,9%
30/06/2022,Macquarie University Professorial Superannuation Scheme,98415348576,Non public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Manildra Flour Mills Retirement Fund,32448411930,Non public offer,Corporate,Corporate base,Manildra Flour Mills Retirement Fund Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Maritime Super,77455663441,Public offer,Industry,Industry base,Maritime Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"5,877,975",1%,9,1,15%,187.5%,0.1%,0.3%,-1.3%,5.4%,7.0%,"22,692","5,670,346",250,-5%
30/06/2022,Mason Stevens Super,34422545198,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"525,099",0%,651,,0%,17.0%,0.3%,0.3%,-8.7%,,,"1,757","520,125",296,41%
30/06/2022,Meat Industry Employees Superannuation Fund,17317520544,Non public offer,Industry,Industry base,Meat Industry Employees Superannuation Fund Pty. Ltd.,Nominating organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"954,989",0%,2,1,91%,119.2%,0.3%,0.3%,0.2%,7.3%,8.2%,"16,247","932,404",57,-3%
30/06/2022,Mercer Portfolio Service Superannuation Plan,92181844838,Public offer,Retail,General base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,796,316",0%,313,,0%,346.8%,0.0%,0.3%,-5.2%,4.3%,5.8%,"5,433","1,788,209",329,-5%
30/06/2022,Mercer Super Trust,19905422981,Public offer,Retail,Corporate base,Mercer Superannuation (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"27,522,614",7%,141,5,44%,105.5%,0.3%,0.2%,-5.3%,5.2%,7.0%,"295,856","26,873,407",91,1%
30/06/2022,Mercy Super,11789425178,Non public offer,Corporate,Corporate base,Mercy Super Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"1,625,178",0%,17,1,72%,101.7%,0.2%,0.5%,-2.3%,5.6%,7.7%,"13,389","1,583,965",118,1%
30/06/2022,Military Superannuation & Benefits Fund No 1,50925523120,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"76,419,313",100%,4,,0%,99.2%,0.0%,0.0%,-1.8%,4.9%,7.2%,"181,987","76,360,000",420,0%
30/06/2022,Mine Superannuation Fund,16457520308,Public offer,Industry,Industry base,AUSCOAL Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"12,796,309",1%,38,1,48%,121.4%,0.4%,0.3%,-5.1%,4.8%,6.7%,"58,538","11,367,169",194,0%
30/06/2022,MLC Super Fund,70732426024,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"77,653,236",4%,336,2,40%,148.4%,0.2%,0.3%,-3.2%,5.3%,,"925,423","77,108,185",83,-3%
30/06/2022,MLC Superannuation Fund,40022701955,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"23,384,838",0%,645,,0%,79.5%,0.0%,0.1%,-6.0%,3.9%,6.0%,"91,830","23,159,476",252,1%
30/06/2022,National Mutual Retirement Fund,76746741299,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"6,047,035",0%,76,,0%,247.4%,0.0%,0.1%,0.9%,4.9%,5.5%,"205,033","6,022,665",29,-8%
30/06/2022,NESS Super,72229227691,Public offer,Industry,Industry base,NESS Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"952,268",0%,14,1,74%,71.9%,0.1%,0.5%,-4.4%,5.3%,7.4%,"12,359","947,413",77,1%
30/06/2022,Netwealth Superannuation Master Fund,94573747704,Public offer,Retail,General base,Netwealth Superannuation Services Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"19,152,635",0%,"6,707",,0%,26.9%,0.0%,0.9%,-8.3%,3.0%,4.6%,"80,620","19,032,905",236,16%
30/06/2022,NGS Super,73549180515,Public offer,Industry,Industry base,NGS Super Pty Limited,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"13,401,813",1%,23,1,64%,84.3%,0.4%,0.3%,-4.4%,5.5%,7.4%,"111,674","12,977,978",116,0%
30/06/2022,Oasis Superannuation Master Trust,81154851339,Public offer,Retail,General base,Oasis Fund Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"3,271,135",0%,"1,080",,0%,440.3%,0.0%,0.4%,-7.0%,3.6%,5.8%,"20,017","3,235,735",162,-10%
30/06/2022,OneSuper,43905581638,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,225,995",0%,"1,108",1,14%,84.7%,0.1%,0.7%,-7.3%,4.2%,5.0%,"59,814","1,202,380",20,6%
30/06/2022,Perpetual Super Wrap,22897174641,Public offer,Retail,General base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,811,769",0%,481,,0%,69.0%,0.0%,0.9%,-7.2%,4.9%,,"1,847","1,810,292",980,13%
30/06/2022,Perpetual WealthFocus Superannuation Fund,41772007500,Public offer,Retail,General base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,568,753",0%,94,,0%,259.4%,0.0%,0.4%,-3.9%,5.4%,7.7%,"11,001","1,547,061",141,-7%
30/06/2022,Perpetual's Select Superannuation Fund,51068260563,Public offer,Retail,Corporate base,Perpetual Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,132,937",0%,18,,0%,396.3%,0.0%,0.2%,-4.7%,5.0%,7.1%,"4,918","1,122,286",228,-7%
30/06/2022,Personal Choice Private Fund,50159477169,Public offer,Retail,General base,CCSL Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"184,396",0%,789,,0%,927.7%,0.5%,0.1%,-6.1%,3.7%,5.2%,856,"182,277",213,-13%
30/06/2022,Platformplus Super Wrap,18906079389,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"4,164",0%,330,,0%,0.1%,0.0%,0.0%,-1.2%,,,31,"3,880",125,
30/06/2022,Praemium SMA Superannuation Fund,75703857864,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"3,044,940",0%,"1,268",,0%,26.8%,0.6%,0.0%,-9.4%,2.7%,,"12,802","3,011,005",235,21%
30/06/2022,Premiumchoice Retirement Service,70479285132,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"460,465",0%,645,,0%,183.1%,0.0%,0.3%,-7.3%,3.7%,5.9%,"1,946","453,610",233,-6%
30/06/2022,Prime Super,60562335823,Public offer,Industry,Industry base,Prime Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"6,089,913",1%,22,1,81%,65.8%,0.5%,0.4%,-5.1%,5.1%,7.5%,"133,254","5,922,292",44,6%
30/06/2022,Public Sector Superannuation Accumulation Plan,65127917725,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"19,694,084",0%,13,1,77%,47.1%,0.0%,0.1%,-3.4%,5.9%,7.7%,"150,817","19,441,912",129,5%
30/06/2022,Public Sector Superannuation Scheme,74172177893,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"100,316,721",100%,2,,0%,137.3%,0.0%,0.0%,-2.5%,5.3%,7.5%,"216,584","99,372,213",459,-1%
30/06/2022,Qantas Superannuation Plan,41272198829,Non public offer,Corporate,Corporate base,Qantas Superannuation Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"8,477,939",24%,8,1,14%,312.9%,0.6%,0.2%,0.8%,6.4%,7.2%,"26,527","7,928,461",299,-4%
30/06/2022,Rei Super,76641658449,Public offer,Industry,Industry base,Rei Superannuation Fund Pty Limited,Nominating organisation ownership,Not for profit status,Non equal representation,30/06/2022,12,,"1,889,368",0%,10,1,76%,72.7%,0.1%,0.5%,-5.6%,4.4%,6.8%,"23,868","1,842,269",77,-3%
30/06/2022,Retail Employees Superannuation Trust,62653671394,Public offer,Industry,Industry base,Retail Employees Superannuation Pty. Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"67,248,718",0%,30,1,82%,60.6%,0.4%,0.3%,-2.6%,5.1%,7.5%,"1,923,357","65,230,189",34,4%
